Platform_X,Platform_Y,Platform_Z,Roll_deg,Pitch_deg,Yaw_deg
9.354953888188013877e+00,-8.135793256923079753e+00,2.861971013041793412e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.479347333189451774e+00,-8.136703843181187779e+00,2.861652251724307803e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.603871270173996777e+00,-8.137597086232801757e+00,2.861340782368101827e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.728524569589772852e+00,-8.138473110948581279e+00,2.861036501701287875e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.853306101884960810e+00,-8.139332042199100670e+00,2.860739306451978905e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.978214737507677512e+00,-8.140174004855005307e+00,2.860449093348286738e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010324934690603271e+01,-8.140999123786883729e+00,2.860165759118323194e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.022840880052815038e+01,-8.141807523865345786e+00,2.859889200490200096e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.035369196882222553e+01,-8.142599329961022647e+00,2.859619314192029833e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.047909772223633951e+01,-8.143374666944502849e+00,2.859355996951925931e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.060462493121863758e+01,-8.144133659686431770e+00,2.859099145497999075e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.073027246621726505e+01,-8.144876433057412157e+00,2.858848656558362791e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.085603919768032455e+01,-8.145603111928032547e+00,2.858604426861128331e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.098192399605598979e+01,-8.146313821168938318e+00,2.858366353134407518e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.110792573179239184e+01,-8.147008685650732218e+00,2.858134332106312741e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.123404327533764047e+01,-8.147687830244009888e+00,2.857908260504957525e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.136027549713986673e+01,-8.148351379819402496e+00,2.857688035058451987e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.148662126764722302e+01,-8.148999459247512789e+00,2.857473552494909654e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.161307945730784041e+01,-8.149632193398986146e+00,2.857264709542442915e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.173964893656984998e+01,-8.150249707144368472e+00,2.857061402929163023e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.186632857588137568e+01,-8.150852125354347777e+00,2.856863529383182936e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199311724569056281e+01,-8.151439572899512598e+00,2.856670985632614475e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.212001381644554243e+01,-8.152012174650423049e+00,2.856483668405569460e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.224701715859443851e+01,-8.152570055477760036e+00,2.856301474430160852e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.237412614258541055e+01,-8.153113340252119201e+00,2.856124300434501038e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.250133963886657540e+01,-8.153642153844096185e+00,2.855952043146701271e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.262865651788605703e+01,-8.154156621124315052e+00,2.855784599294873942e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.275607565009198652e+01,-8.154656866963378548e+00,2.855621865607131440e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.288359590593255177e+01,-8.155143016231932052e+00,2.855463738811586154e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.301121615585583413e+01,-8.155615193800535678e+00,2.855310115636349906e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.313893527030995045e+01,-8.156073524539856123e+00,2.855160892809535653e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.326675211974308155e+01,-8.156518133320489028e+00,2.855015967059254649e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.339466557460334428e+01,-8.156949145013015823e+00,2.854875235113618714e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
